device: cuda
train=107718  valid=11973  test=120363

=== single model ===
/home/nagle/miniconda3/envs/toehold_gpu/lib/python3.10/site-packages/torch/nn/modules/lazy.py:178: UserWarning: Lazy modules are a new feature under heavy development so changes to the API or functionality can happen at any moment.
  warnings.warn('Lazy modules are a new feature under heavy development '
  [member1] epoch  47  val_pearson=0.8938 *
  [member1] epoch  48  val_pearson=0.8926
  [member1] epoch  49  val_pearson=0.8950 *
  [member1] epoch  50  val_pearson=0.8934
  [member1] epoch  51  val_pearson=0.8937
  [member1] epoch  52  val_pearson=0.8945
  [member1] epoch  53  val_pearson=0.8956 *
  [member1] epoch  54  val_pearson=0.8950
  [member1] epoch  55  val_pearson=0.8927
  [member1] epoch  56  val_pearson=0.8929
  [member1] epoch  57  val_pearson=0.8942
  [member1] epoch  58  val_pearson=0.8942
  [member1] epoch  59  val_pearson=0.8950
  [member1] epoch  60  val_pearson=0.8937
  [member1] decay LR -> 9.00e-05
  [member1] epoch  61  val_pearson=0.8951
  [member1] epoch  62  val_pearson=0.8933
  [member1] epoch  63  val_pearson=0.8952
  [member1] epoch  64  val_pearson=0.8952
  [member1] epoch  65  val_pearson=0.8954
  [member1] epoch  66  val_pearson=0.8949
  [member1] epoch  67  val_pearson=0.8949
  [member1] decay LR -> 2.70e-05
  [member1] epoch  68  val_pearson=0.8943
  [member1] epoch  69  val_pearson=0.8945
  [member1] epoch  70  val_pearson=0.8957 *
  [member1] epoch  71  val_pearson=0.8948
  [member1] epoch  72  val_pearson=0.8930
  [member1] epoch  73  val_pearson=0.8947
  [member1] epoch  74  val_pearson=0.8955
  [member1] epoch  75  val_pearson=0.8949
  [member1] epoch  76  val_pearson=0.8961 *
  [member1] epoch  77  val_pearson=0.8953
  [member1] epoch  78  val_pearson=0.8947
  [member1] epoch  79  val_pearson=0.8959
  [member1] epoch  80  val_pearson=0.8956
  [member1] epoch  81  val_pearson=0.8965 *
  [member1] epoch  82  val_pearson=0.8947
  [member1] epoch  83  val_pearson=0.8948
  [member1] epoch  84  val_pearson=0.8957
  [member1] epoch  85  val_pearson=0.8960
  [member1] epoch  86  val_pearson=0.8956
  [member1] epoch  87  val_pearson=0.8956
  [member1] epoch  88  val_pearson=0.8958
  [member1] decay LR -> 8.10e-06
  [member1] epoch  89  val_pearson=0.8958
  [member1] epoch  90  val_pearson=0.8957
  [member1] epoch  91  val_pearson=0.8957
  [member1] epoch  92  val_pearson=0.8960
  [member1] epoch  93  val_pearson=0.8950
  [member1] epoch  94  val_pearson=0.8960
  [member1] epoch  95  val_pearson=0.8948
  [member1] decay LR -> 2.43e-06
  [member1] epoch  96  val_pearson=0.8944
  [member1] epoch  97  val_pearson=0.8944
  [member1] epoch  98  val_pearson=0.8952
  [member1] epoch  99  val_pearson=0.8958
  [member1] epoch 100  val_pearson=0.8961
  [member1] epoch 101  val_pearson=0.8955
  [member1] early stop at epoch 101
  member  1 (seed 44): best val pearson = 0.8965
  [member2] epoch   1  val_pearson=0.8177 *
  [member2] epoch   2  val_pearson=0.8521 *
  [member2] epoch   3  val_pearson=0.8599 *
  [member2] epoch   4  val_pearson=0.8662 *
  [member2] epoch   5  val_pearson=0.8696 *
  [member2] epoch   6  val_pearson=0.8728 *
  [member2] epoch   7  val_pearson=0.8735 *
  [member2] epoch   8  val_pearson=0.8782 *
  [member2] epoch   9  val_pearson=0.8823 *
  [member2] epoch  10  val_pearson=0.8822
  [member2] epoch  11  val_pearson=0.8840 *
  [member2] epoch  12  val_pearson=0.8802
  [member2] epoch  13  val_pearson=0.8837
  [member2] epoch  14  val_pearson=0.8861 *
  [member2] epoch  15  val_pearson=0.8875 *
  [member2] epoch  16  val_pearson=0.8891 *
  [member2] epoch  17  val_pearson=0.8854
  [member2] epoch  18  val_pearson=0.8892 *
  [member2] epoch  19  val_pearson=0.8912 *
  [member2] epoch  20  val_pearson=0.8896
  [member2] epoch  21  val_pearson=0.8894
  [member2] epoch  22  val_pearson=0.8913 *
  [member2] epoch  23  val_pearson=0.8892
  [member2] epoch  24  val_pearson=0.8886
  [member2] epoch  25  val_pearson=0.8902
  [member2] epoch  26  val_pearson=0.8905
  [member2] epoch  27  val_pearson=0.8893
  [member2] epoch  28  val_pearson=0.8923 *
  [member2] epoch  29  val_pearson=0.8926 *
  [member2] epoch  30  val_pearson=0.8898
  [member2] epoch  31  val_pearson=0.8865
  [member2] epoch  32  val_pearson=0.8896
  [member2] epoch  33  val_pearson=0.8913
  [member2] epoch  34  val_pearson=0.8911
